danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.671,0.689,2,-6.613,1,0.044,0.00639,0.00291,0.212,0.641,128.001,183067,5
0.72,0.824,6,-4.887,1,0.0275,0.0259,2.74e-05,0.309,0.572,101.0,218600,0
0.784,0.785,0,-5.497,1,0.0478,0.131,0.0,0.153,0.354,149.935,147208,1
0.604,0.291,0,-13.967,1,0.392,0.798,0.889,0.144,0.111,78.066,110769,1
0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,3
0.896,0.789,1,-4.945,1,0.0674,0.0856,1.61e-06,0.276,0.694,97.008,191147,3
0.736,0.689,2,-4.804,0,0.0456,0.388,0.0,0.211,0.465,101.046,151470,3
0.676,0.202,11,-12.967,1,0.196,0.944,0.886,0.104,0.751,75.109,80000,1
0.587,0.891,11,-3.381,1,0.0361,0.000261,0.00454,0.314,0.705,124.005,255573,2
0.632,0.76,7,-4.273,1,0.283,0.0922,1.25e-06,0.146,0.275,84.838,192080,1
0.889,0.471,11,-10.487,1,0.079,0.00923,0.06,0.0778,0.415,126.027,206200,5
0.654,0.57,10,-5.77,0,0.109,0.00865,0.00837,0.265,0.805,94.551,86686,1
0.783,0.885,6,-7.747,0,0.0648,0.00531,0.752,0.0435,0.941,92.042,265667,4
0.426,0.959,0,-4.95,1,0.0525,5.36e-05,6.54e-06,0.707,0.372,155.01,242680,2
0.749,0.637,7,-6.924,1,0.0764,0.308,0.0,0.0878,0.798,99.951,234373,3
0.666,0.905,0,-4.574,0,0.211,0.114,0.0,0.202,0.709,81.787,217973,3
0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,215760,0
0.766,0.519,0,-11.411,1,0.0288,0.194,2.47e-05,0.292,0.856,118.199,261640,2
0.324,0.463,8,-7.247,1,0.0336,0.0781,5.63e-06,0.103,0.2,125.295,303387,0
0.701,0.913,4,-2.222,1,0.132,0.00142,0.00855,0.0594,0.227,150.067,192713,1
0.747,0.67,1,-10.379,1,0.0287,0.0165,7.92e-05,0.0499,0.691,105.908,327240,3
0.551,0.488,9,-7.537,0,0.0529,0.516,0.0,0.318,0.324,80.041,231053,4
0.806,0.587,9,-5.809,1,0.28,0.175,0.0,0.263,0.575,158.032,285027,1
0.724,0.858,5,-5.644,0,0.0363,0.0221,0.00246,0.261,0.393,117.971,180682,5
0.801,0.693,1,-10.239,1,0.073,0.0504,0.0,0.168,0.742,113.137,274133,4
0.564,0.645,0,-12.923,1,0.0484,0.0552,2.84e-06,0.151,0.836,99.302,170173,2
0.691,0.821,0,-4.527,1,0.0401,0.136,0.000115,0.092,0.759,104.961,222000,0
0.748,0.208,0,-16.352,0,0.0862,0.611,1.97e-06,0.0958,0.487,107.033,203920,1
0.609,0.577,0,-8.397,1,0.0269,0.42,1.04e-06,0.107,0.295,115.878,180821,2
0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,3
0.821,0.789,11,-5.516,0,0.111,0.103,0.0,0.432,0.742,96.012,206947,3
0.59,0.338,11,-13.101,0,0.03,0.292,0.0131,0.121,0.322,110.581,185360,2
0.706,0.487,11,-7.913,0,0.0343,0.26,0.0,0.174,0.558,104.0,196037,4
0.837,0.84,7,-4.293,1,0.239,0.0629,0.0,0.329,0.692,135.004,400013,1
0.748,0.411,8,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052,4
0.804,0.918,9,-3.702,1,0.0586,0.000929,0.913,0.181,0.138,124.98,161280,5
0.544,0.51,6,-11.474,0,0.178,0.338,0.0644,0.0792,0.385,80.632,248434,4
0.605,0.812,11,-4.699,1,0.0403,0.515,0.0,0.419,0.451,110.081,190245,5
0.704,0.861,11,-1.964,1,0.044,0.0109,1.17e-06,0.374,0.721,126.025,177143,5
0.739,0.613,2,-5.663,1,0.0287,0.753,0.0,0.39,0.855,126.952,233347,3
0.756,0.759,2,-4.606,1,0.0378,0.000398,0.00987,0.113,0.522,96.843,204333,4
0.822,0.656,5,-6.159,0,0.11,0.254,0.0,0.329,0.734,94.039,188320,3
0.55,0.451,5,-11.754,1,0.0363,0.00957,0.0228,0.0712,0.247,117.951,379227,4
0.462,0.836,11,-5.766,0,0.0621,0.00517,0.0,0.18,0.671,168.766,155973,0
0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502,5
0.301,0.813,2,-8.786,0,0.0568,0.000674,0.000631,0.197,0.236,109.25,436960,2
