danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.514,0.617,11,-6.851,1,0.186,0.00231,0.626,0.113,0.244,92.109,303640,4
0.646,0.81,2,-6.482,1,0.141,0.0959,2.68e-05,0.266,0.361,95.985,264680,3
0.577,0.581,11,-11.265,0,0.214,0.321,1.53e-05,0.545,0.592,102.173,243529,1
0.719,0.739,2,-5.077,1,0.279,0.0849,0.00456,0.125,0.286,88.441,187667,1
0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640,2
0.87,0.876,0,-2.999,0,0.117,0.145,1.55e-05,0.841,0.861,104.985,231307,0
0.518,0.63,6,-5.968,0,0.199,0.00997,0.0,0.101,0.576,195.958,183920,4
0.247,0.63,7,-6.615,1,0.0403,0.0444,0.00911,0.103,0.318,72.506,206720,1
0.767,0.674,0,-6.246,1,0.0529,0.0216,5.88e-05,0.257,0.221,121.011,168636,0
0.488,0.311,10,-11.467,0,0.297,0.562,0.000548,0.161,0.579,184.112,159783,0
0.469,0.823,10,-9.913,0,0.0679,0.0544,0.067,0.0496,0.155,91.949,350013,2
0.67,0.846,9,-6.543,0,0.0884,0.164,0.0,0.113,0.589,124.016,203226,5
0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,2
0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,197813,0
0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,1
0.485,0.808,6,-4.559,1,0.0592,0.000335,0.0,0.135,0.475,136.062,184107,0
0.613,0.939,11,-8.48,0,0.0355,0.0413,0.00787,0.235,0.895,112.91,256800,2
0.504,0.406,1,-9.177,0,0.0669,0.25,1.96e-06,0.121,0.12,93.583,255467,4
0.467,0.944,6,-4.202,0,0.0771,0.000541,0.000916,0.457,0.566,155.033,183438,2
0.551,0.718,2,-3.412,0,0.0316,0.495,0.0,0.685,0.224,128.045,217500,5
0.743,0.736,2,-4.849,1,0.0628,0.0652,0.0078,0.12,0.605,119.981,184987,3
0.51,0.892,11,-3.387,0,0.13,0.242,0.0,0.35,0.484,128.132,225000,5
0.783,0.483,1,-8.963,1,0.127,0.212,0.0,0.185,0.299,100.036,158400,1
0.629,0.801,11,-9.903,0,0.0325,0.0177,0.085,0.129,0.805,95.245,178640,2
0.879,0.718,0,-12.984,1,0.0523,0.151,2.75e-05,0.0513,0.891,130.167,303107,3
0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,2
0.573,0.833,9,-2.764,1,0.0787,0.00572,0.000349,0.0758,0.585,81.955,188000,2
0.77,0.632,5,-4.77,0,0.227,0.0465,0.00937,0.175,0.819,184.073,184733,3
0.728,0.654,1,-7.044,1,0.245,0.0161,0.0,0.343,0.659,87.816,337014,1
0.614,0.799,5,-6.118,0,0.158,0.294,0.0,0.147,0.636,89.839,190093,1
0.786,0.667,8,-6.909,1,0.077,0.114,1.84e-05,0.127,0.197,103.976,166213,5
0.507,0.99,0,-3.517,0,0.121,2.28e-05,0.0,0.347,0.28,135.053,213087,2
0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,5
0.493,0.612,7,-7.124,1,0.403,0.382,0.0,0.226,0.617,176.458,168987,4
0.807,0.681,11,-6.268,1,0.0983,0.423,0.0,0.0962,0.676,140.006,297485,1
0.725,0.311,10,-14.721,0,0.365,0.247,9.1e-05,0.114,0.463,78.962,267573,1
0.555,0.783,10,-1.888,1,0.112,0.479,0.0,0.0838,0.329,149.785,187600,5
0.55,0.961,2,-3.049,1,0.0412,0.000628,0.759,0.0718,0.0391,128.027,189514,5
0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
0.571,0.551,7,-7.023,1,0.0306,0.234,0.0,0.13,0.133,127.263,188500,4
0.756,0.858,2,-2.328,1,0.105,0.0699,1.41e-06,0.114,0.685,98.027,209801,5
0.662,0.823,9,-4.7,1,0.0971,0.073,0.0,0.0833,0.435,118.958,191786,0
0.529,0.607,6,-6.781,1,0.0574,0.104,0.0,0.0631,0.238,101.966,234107,4
0.522,0.786,0,-4.462,1,0.042,0.00171,0.00427,0.375,0.4,128.041,353120,5
0.515,0.766,7,-12.768,1,0.0343,0.0249,0.00103,0.455,0.774,146.911,221000,0
0.79,0.644,11,-5.109,1,0.343,0.178,0.0,0.097,0.33,90.043,239139,1
0.703,0.8,1,-6.786,1,0.0653,0.00361,0.795,0.08,0.519,104.986,206707,3
0.802,0.31,2,-8.716,0,0.0601,0.703,0.786,0.142,0.769,80.064,103500,1
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,5
0.672,0.587,2,-6.43,0,0.271,0.134,0.0,0.121,0.313,89.849,150707,1
0.823,0.622,11,-5.706,1,0.0491,0.0105,2.69e-06,0.0453,0.602,100.022,204853,1
0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230227,0
0.712,0.61,6,-9.331,0,0.0376,0.000892,1.04e-06,0.119,0.344,111.016,202444,3
0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,173800,4
0.591,0.959,4,-5.644,0,0.215,0.00583,0.624,0.428,0.346,127.99,186929,5
0.803,0.823,1,-3.084,1,0.0427,0.0246,1.16e-06,0.294,0.928,92.997,187347,3
0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,275507,2
0.777,0.69,11,-5.905,1,0.0412,0.0252,0.00188,0.133,0.465,119.944,261826,5
0.647,0.75,8,-5.577,1,0.0515,0.296,0.0,0.137,0.425,99.972,180000,3
0.157,0.523,5,-28.309,0,0.0666,0.0027,0.764,0.0936,0.0384,89.925,175314,3
0.407,0.403,5,-8.396,0,0.113,0.158,5.98e-06,0.553,0.329,90.907,232878,4
0.179,0.953,5,-2.686,1,0.202,1.5e-05,0.00109,0.363,0.337,153.955,249467,2
0.589,0.83,0,-1.37,1,0.0263,0.392,0.0,0.0959,0.541,103.759,249240,0
0.557,0.665,6,-6.19,0,0.0328,0.324,0.000281,0.0713,0.437,75.805,218987,4
